dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-12-15T13:30:00Z,2023-12-15T16:30:00Z,Cours-63838-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,Evaluation,,ILSEN-CLA
2023-12-20T15:00:00Z,2023-12-20T16:30:00Z,Cours-69497-26-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2024-02-17T07:30:00Z,2024-02-17T09:00:00Z,Cours-81241-34-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-22T13:00:00Z,2024-01-22T16:00:00Z,Cours-75618-31-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Rattrapage,,ILSEN-CLA
2024-03-05T12:00:00Z,2024-03-05T15:00:00Z,Cours-80573-37-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-04-12T06:30:00Z,2024-04-12T08:00:00Z,Cours-79616-42-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UE PROJET 2,"HADDAD Majed, VERNET Mathilde",CM/TD,2eme rencontre,ILSEN-CLA
2023-11-07T12:00:00Z,2023-11-07T15:00:00Z,Cours-80070-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-11-14T12:00:00Z,2023-11-14T15:00:00Z,Cours-80070-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2024-02-23T07:30:00Z,2024-02-23T10:30:00Z,Cours-80843-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,TP,,ILSEN-CLA
2024-03-19T13:30:00Z,2024-03-19T15:00:00Z,Cours-81240-39-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,Evaluation,,ILSEN-CLA
2024-04-02T12:30:00Z,2024-04-02T15:30:00Z,Cours-81242-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
